15456;2.0;61.0;6.0;15451;;;0
15549;0.0;0.0;0.0;15544;15506.0;15592.0;0
15679;0.0;0.0;0.0;15674;15635.0;15721.0;0
15805;0.0;4.0;0.0;15800;15763.0;15848.0;0
15881;2.0;62.0;6.0;15876;;;0
15934;0.0;0.0;0.0;15929;15891.0;15976.0;0
16010;2.0;62.0;6.0;16007;;;0
16061;0.0;3.0;0.0;16056;16018.0;16103.0;0
16098;2.0;61.0;6.0;16093;;;0
16189;0.0;4.0;0.0;16184;16146.0;16231.0;0
16226;2.0;60.0;6.0;16221;;;0
16317;0.0;0.0;0.0;16312;16274.0;16358.0;0
16352;2.0;60.0;6.0;16347;;;0
16442;0.0;4.0;0.0;16437;16400.0;16484.0;0
16478;2.0;61.0;6.0;16473;;;0
16569;0.0;4.0;0.0;16564;16526.0;16612.0;0
16605;2.0;60.0;6.0;16600;;;0
16699;0.0;3.0;0.0;16694;16655.0;16742.0;0
16736;2.0;60.0;6.0;16731;;;0
16829;0.0;4.0;0.0;16824;16785.0;16872.0;0
16866;2.0;61.0;6.0;16861;;;0
16910;2.0;62.0;6.0;16905;;;0
16960;0.0;1.0;0.0;16955;16916.0;17002.0;0
16995;2.0;61.0;6.0;16990;;;0
17088;0.0;0.0;0.0;17083;17045.0;17130.0;0
17156;2.0;63.0;6.0;17156;;;0
17216;0.0;0.0;0.0;17211;17173.0;17258.0;0
17252;2.0;61.0;6.0;17247;;;0
17343;0.0;4.0;0.0;17338;17300.0;17386.0;0
17380;2.0;61.0;6.0;17375;;;0
17473;0.0;1.0;0.0;17468;17429.0;17515.0;0
17549;2.0;63.0;6.0;17549;;;0
17600;0.0;4.0;0.0;17595;17557.0;17643.0;0
17636;2.0;61.0;6.0;17631;;;0
17731;0.0;1.0;0.0;17726;17687.0;17774.0;0
17767;2.0;61.0;6.0;17762;;;0
17861;0.0;1.0;0.0;17857;17817.0;17903.0;0
17898;2.0;61.0;6.0;17893;;;0
17988;0.0;1.0;0.0;17983;17945.0;18031.0;0
18024;2.0;61.0;6.0;18019;;;0
18117;0.0;1.0;0.0;18112;18074.0;18159.0;0
18153;2.0;61.0;6.0;18148;;;0
18243;0.0;0.0;0.0;18238;18201.0;18285.0;0
18371;0.0;4.0;0.0;18366;18328.0;18414.0;0
18408;2.0;61.0;6.0;18403;;;0
18500;0.0;4.0;0.0;18495;18457.0;18543.0;0
18536;2.0;61.0;6.0;18531;;;0
18630;0.0;0.0;0.0;18625;18586.0;18673.0;0
18759;0.0;4.0;0.0;18754;18716.0;18802.0;0
18889;0.0;4.0;0.0;18884;18845.0;18931.0;0
18925;2.0;61.0;6.0;18920;;;0
19015;0.0;3.0;0.0;19011;18973.0;19058.0;0
19052;2.0;60.0;6.0;19047;;;0
19144;0.0;4.0;0.0;19139;19101.0;19186.0;0
19180;2.0;61.0;6.0;19175;;;0
19272;0.0;0.0;0.0;19268;19229.0;19313.0;0
19308;2.0;61.0;6.0;19303;;;0
19395;0.0;0.0;0.0;19390;19354.0;19437.0;0
19431;2.0;60.0;6.0;19426;;;0
19522;0.0;4.0;0.0;19517;19479.0;19565.0;0
19558;2.0;61.0;6.0;19553;;;0
19651;0.0;1.0;0.0;19646;19608.0;19694.0;0
19686;2.0;61.0;6.0;19681;;;0
19780;0.0;1.0;0.0;19775;19737.0;19823.0;0
19816;2.0;61.0;6.0;19811;;;0
19856;2.0;62.0;6.0;19856;;;0
19910;0.0;1.0;0.0;19905;19866.0;19954.0;0
19944;2.0;61.0;6.0;19939;;;0
19996;2.0;62.0;6.0;19993;;;0
20042;0.0;1.0;0.0;20037;19998.0;20085.0;0
20079;2.0;61.0;6.0;20074;;;0
20172;0.0;4.0;0.0;20167;20128.0;20214.0;0
20207;2.0;61.0;6.0;20202;;;0
20300;0.0;3.0;0.0;20296;20257.0;20342.0;0
20426;0.0;4.0;0.0;20421;20384.0;20469.0;0
20463;2.0;61.0;6.0;20458;;;0
20495;2.0;63.0;6.0;20493;;;0
20555;0.0;4.0;0.0;20550;20512.0;20597.0;0
20592;2.0;61.0;6.0;20587;;;0
20683;0.0;3.0;0.0;20679;20640.0;20726.0;0
20720;2.0;60.0;6.0;20715;;;0
20755;2.0;62.0;6.0;20755;;;0
20812;0.0;0.0;0.0;20807;20769.0;20855.0;0
20847;2.0;60.0;6.0;20842;;;0
20941;0.0;0.0;0.0;20936;20898.0;20983.0;0
20977;2.0;60.0;6.0;20972;;;0
21020;2.0;62.0;6.0;21020;;;0
21067;0.0;3.0;0.0;21062;21025.0;21109.0;0
21102;2.0;60.0;6.0;21097;;;0
21195;0.0;3.0;0.0;21190;21152.0;21238.0;0
21232;2.0;60.0;6.0;21227;;;0
21267;2.0;62.0;6.0;21267;;;0
21325;0.0;3.0;0.0;21320;21281.0;21368.0;0
21455;0.0;4.0;0.0;21450;21411.0;21497.0;0
21582;0.0;4.0;0.0;21577;21539.0;21625.0;0
21618;2.0;60.0;6.0;21613;;;0
